A,B,StadDistMiles
BMO Harris Bradley Center (MIL),Golden 1 Center (SAC),1775
BMO Harris Bradley Center (MIL),American Airlines Center (DAL),859
BMO Harris Bradley Center (MIL),Toyota Center (HOU),1004
BMO Harris Bradley Center (MIL),FedExForum (MEM),556
BMO Harris Bradley Center (MIL),Smoothie King Center (NO),910
BMO Harris Bradley Center (MIL),AT&T Center (SA),1105
BMO Harris Bradley Center (MIL),Pepsi Center (DEN),915
BMO Harris Bradley Center (MIL),Target Center (MIN),300
BMO Harris Bradley Center (MIL),Chesapeake Energy Arena (OKC),732
BMO Harris Bradley Center (MIL),Moda Center at the Rose Quarter (POR),1718
BMO Harris Bradley Center (MIL),Vivint Smart Home Arena (UTA),1241
Philips Arena (ATL),TD Garden (BOS),936
Philips Arena (ATL),Barclays Center (BKN),746
Philips Arena (ATL),Madison Square Garden (NY),748
Philips Arena (ATL),Wells Fargo Center (PHI),663
Philips Arena (ATL),Air Canada Centre (TOR),733
Philips Arena (ATL),United Center (CHI),588
Philips Arena (ATL),Quicken Loans Arena (CLE),553
Philips Arena (ATL),The Palace of Auburn Hills (DET),619
Philips Arena (ATL),Bankers Life Fieldhouse (IND),425
Philips Arena (ATL),BMO Harris Bradley Center (MIL),668
Philips Arena (ATL),Philips Arena (ATL),0
Philips Arena (ATL),Spectrum Center (CHA),226
Philips Arena (ATL),AmericanAirlines Arena (MIA),603
Philips Arena (ATL),Amway Center (ORL),401
Philips Arena (ATL),Verizon Center (WSH),542
Philips Arena (ATL),ORACLE Arena (GS),2131
Philips Arena (ATL),Staples Center (LAC),1937
Philips Arena (ATL),Staples Center (LAL),1937
Philips Arena (ATL),Talking Stick Resort Arena (PHX),1591
Philips Arena (ATL),Golden 1 Center (SAC),2086
Philips Arena (ATL),American Airlines Center (DAL),731
Philips Arena (ATL),Toyota Center (HOU),701
Philips Arena (ATL),FedExForum (MEM),336
Philips Arena (ATL),Smoothie King Center (NO),424
Philips Arena (ATL),AT&T Center (SA),879
Philips Arena (ATL),Pepsi Center (DEN),1212
Philips Arena (ATL),Target Center (MIN),908
Philips Arena (ATL),Chesapeake Energy Arena (OKC),756
Philips Arena (ATL),Moda Center at the Rose Quarter (POR),2172
Philips Arena (ATL),Vivint Smart Home Arena (UTA),1582
Spectrum Center (CHA),TD Garden (BOS),720
Spectrum Center (CHA),Barclays Center (BKN),530
Spectrum Center (CHA),Madison Square Garden (NY),533
Spectrum Center (CHA),Wells Fargo Center (PHI),447
Spectrum Center (CHA),Air Canada Centre (TOR),585
Spectrum Center (CHA),United Center (CHI),589
Spectrum Center (CHA),Quicken Loans Arena (CLE),434
Spectrum Center (CHA),The Palace of Auburn Hills (DET),531
Spectrum Center (CHA),Bankers Life Fieldhouse (IND),427
Spectrum Center (CHA),BMO Harris Bradley Center (MIL),659
Spectrum Center (CHA),Philips Arena (ATL),226
Spectrum Center (CHA),Spectrum Center (CHA),0
Spectrum Center (CHA),AmericanAirlines Arena (MIA),651
Spectrum Center (CHA),Amway Center (ORL),461
Spectrum Center (CHA),Verizon Center (WSH),329
Spectrum Center (CHA),ORACLE Arena (GS),2293
Spectrum Center (CHA),Staples Center (LAC),2121
Spectrum Center (CHA),Staples Center (LAL),2121
Spectrum Center (CHA),Talking Stick Resort Arena (PHX),1782
Spectrum Center (CHA),Golden 1 Center (SAC),2245
Spectrum Center (CHA),American Airlines Center (DAL),940
Spectrum Center (CHA),Toyota Center (HOU),926
Spectrum Center (CHA),FedExForum (MEM),520
Spectrum Center (CHA),Smoothie King Center (NO),649
Spectrum Center (CHA),AT&T Center (SA),1102
Spectrum Center (CHA),Pepsi Center (DEN),1359
Spectrum Center (CHA),Target Center (MIN),940
Spectrum Center (CHA),Chesapeake Energy Arena (OKC),940
Spectrum Center (CHA),Moda Center at the Rose Quarter (POR),2289
Spectrum Center (CHA),Vivint Smart Home Arena (UTA),1727
AmericanAirlines Arena (MIA),TD Garden (BOS),1254
AmericanAirlines Arena (MIA),Barclays Center (BKN),1087
AmericanAirlines Arena (MIA),Madison Square Garden (NY),1091
AmericanAirlines Arena (MIA),Wells Fargo Center (PHI),1015
AmericanAirlines Arena (MIA),Air Canada Centre (TOR),1231
AmericanAirlines Arena (MIA),United Center (CHI),1188
AmericanAirlines Arena (MIA),Quicken Loans Arena (CLE),1085
AmericanAirlines Arena (MIA),The Palace of Auburn Hills (DET),1178
AmericanAirlines Arena (MIA),Bankers Life Fieldhouse (IND),1022
